owner,type,violations,buildings,viol_per_bldg,top_category,top_district,d1,d2,d3,d4,d5,d6,d7,d8,d9
PLYMOUTH WEST LP,Limited Partnership,40,1,40.0,Uncategorized,1,40,0,0,0,0,0,0,0,0
GSIC II PINE OWNER LP,Limited Partnership,40,2,20.0,COVID,1,40,0,0,0,0,0,0,0,0
NEW CENTURY PROPERTY 10 LLC,LLC,40,1,40.0,Uncategorized,1,40,0,0,0,0,0,0,0,0
800 LINDEN RE LLC,LLC,40,1,40.0,Uncategorized,1,40,0,0,0,0,0,0,0,0
GABLE HOUSE INC,Corporation,40,3,13.3,Uncategorized,9,0,10,4,0,0,0,0,0,26
LYON 1900 OCEAN OWNER LLC,LLC,40,1,40.0,COVID,2,0,40,0,0,0,0,0,0,0
REBGEO ENTERPRISES LLC,LLC,40,2,20.0,Uncategorized,3,0,0,28,12,0,0,0,0,0
BWP DOUGLAS PARK PAD OWNER LLC,LLC,40,3,13.3,COVID,5,0,0,0,0,40,0,0,0,0
"PERES,MARIO C CO TR  MARIO AND",Corporation,40,2,20.0,Uncategorized,9,0,0,0,0,0,18,0,0,22
5505 ACKERFIELD APTS LLC,LLC,40,1,40.0,Uncategorized,8,0,0,0,0,0,0,0,40,0
PENN PROPERTIES III LLC,LLC,40,2,20.0,Uncategorized,9,0,0,0,0,0,0,0,0,40
CAHLA PROPERTIES LLC,LLC,39,2,19.5,COVID,1,39,0,0,0,0,0,0,0,0
MASUDA INVESTMENTS LLC,LLC,39,3,13.0,Uncategorized,1,33,6,0,0,0,0,0,0,0
"FERRARIO,JEFFERY CO TR  JJ",Corporation,39,6,6.5,Uncategorized,1,28,7,4,0,0,0,0,0,0
"STUCKEN,CHARLES R CO TR  STUCKEN",Corporation,39,6,6.5,Uncategorized,1,26,8,1,0,0,4,0,0,0
TMP SARAS LP,Limited Partnership,39,1,39.0,Uncategorized,1,39,0,0,0,0,0,0,0,0
DENALI CBH LP,Limited Partnership,39,2,19.5,Other,1,39,0,0,0,0,0,0,0,0
BLN INVESTMENTS LLC,LLC,39,8,4.9,Uncategorized,7,0,17,0,0,1,0,21,0,0
G AND R PARK LLC,LLC,39,5,7.8,Uncategorized,4,0,1,0,27,2,9,0,0,0
TORD AND NANCY LLC,LLC,39,2,19.5,Uncategorized,3,0,13,26,0,0,0,0,0,0
"TAYLOR,WILIAM H CO TR  W TAYLOR",Corporation,39,1,39.0,Property Maintenance,4,0,0,0,39,0,0,0,0,0
HUDSON ROSE INVESTMENTS LLC,LLC,38,2,19.0,Uncategorized,1,20,0,0,0,0,18,0,0,0
JAMBOREE WEST GATEWAY LP,Limited Partnership,38,1,38.0,Uncategorized,1,38,0,0,0,0,0,0,0,0
MERCY HOUSING CALIFORNIA 112 LP,Limited Partnership,38,2,19.0,Graffiti,2,0,38,0,0,0,0,0,0,0
"PAPPAS,GREGORY J CO TR  G J AND",Corporation,38,1,38.0,Uncategorized,2,0,38,0,0,0,0,0,0,0
651 STANLEY AND LINDEN LLC,LLC,38,4,9.5,Uncategorized,8,0,5,0,0,0,0,0,33,0
1000 REDONDO AVE RE LLC,LLC,38,1,38.0,Uncategorized,3,0,0,38,0,0,0,0,0,0
3009 LONG BEACH BLVD INC,Corporation,38,1,38.0,Other,6,0,0,0,0,0,38,0,0,0
CHESTNUT HILL APARTMENTS LLC,LLC,38,1,38.0,Uncategorized,7,0,0,0,0,0,0,38,0,0
B AND G SANDCASTLE PARTNERS LLC,LLC,37,2,18.5,Uncategorized,2,0,37,0,0,0,0,0,0,0
